,paramId,dataType,numberOfPoints,typeOfLevel,stepUnits,stepType,gridType,shortName,units,name,cfVarName,missingValue,totalNumber,NV,gridDefinitionDescription
lmlt,228008,fc,1038240,surface,1,instant,regular_ll,lmlt,K,Lake mix-layer temperature,lmlt,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
mn2t24,52,fc,1038240,surface,1,instant,regular_ll,mn2t24,K,Minimum temperature at 2 metres in the last 24 hours,mn2t24,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
mx2t24,51,fc,1038240,surface,1,instant,regular_ll,mx2t24,K,Maximum temperature at 2 metres in the last 24 hours,mx2t24,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
